epoch,total_loss
1,0.063081
2,0.053960
3,0.050704
4,0.048927
5,0.048725
6,0.047924
7,0.046362
8,0.046031
9,0.044631
10,0.043904
11,0.043177
12,0.042417
13,0.041708
14,0.041562
15,0.040916
16,0.040272
17,0.040113
18,0.039440
19,0.039279
20,0.038717
21,0.038305
22,0.037851
23,0.037703
24,0.037361
25,0.037045
26,0.036976
27,0.037127
28,0.036705
29,0.036220
30,0.035808
31,0.035390
32,0.035260
33,0.034755
34,0.034507
35,0.034225
36,0.033909
37,0.033642
38,0.033489
39,0.033133
40,0.032854
41,0.032540
42,0.032249
43,0.032003
44,0.031786
45,0.031539
46,0.031310
47,0.031080
48,0.030949
49,0.030701
50,0.030701
