epoch,total_loss
1,0.087685
2,0.074417
3,0.070126
4,0.067555
5,0.065594
6,0.063935
7,0.062761
8,0.061484
9,0.060882
10,0.059965
11,0.059086
12,0.058238
13,0.057514
14,0.057150
15,0.056315
16,0.055507
17,0.054941
18,0.054550
19,0.054095
20,0.053535
21,0.052874
22,0.052856
23,0.052572
24,0.052221
25,0.051943
26,0.051028
27,0.050627
28,0.050180
29,0.049483
30,0.049190
31,0.048802
32,0.048881
33,0.048226
34,0.047565
35,0.047245
36,0.046963
37,0.046566
38,0.046383
39,0.046103
40,0.045586
41,0.045295
42,0.044800
43,0.044557
44,0.044129
45,0.044188
46,0.043615
47,0.043169
48,0.042927
49,0.042585
50,0.042287
51,0.041993
52,0.041644
53,0.041467
54,0.041286
55,0.040817
56,0.040586
57,0.040338
58,0.040047
59,0.040122
60,0.039605
61,0.039215
62,0.039049
63,0.039200
64,0.039007
65,0.038985
66,0.038158
67,0.037947
68,0.037593
69,0.037251
70,0.036900
71,0.036842
72,0.036883
73,0.036619
74,0.036289
75,0.035933
76,0.035527
77,0.035295
78,0.035132
79,0.034812
80,0.034589
81,0.034499
82,0.034321
83,0.034139
84,0.033783
85,0.033432
86,0.033308
87,0.033127
88,0.032836
89,0.032545
90,0.032335
91,0.032143
92,0.031932
93,0.031724
94,0.031510
95,0.031283
96,0.031148
97,0.031064
98,0.030805
99,0.030545
100,0.030313
101,0.030239
102,0.030135
103,0.029850
104,0.029659
105,0.029461
106,0.029298
107,0.029123
108,0.028781
109,0.028590
110,0.028444
111,0.028187
112,0.027957
113,0.027779
114,0.027517
115,0.027399
116,0.027209
117,0.026957
118,0.026776
119,0.026614
120,0.026468
121,0.026316
122,0.026179
123,0.026028
124,0.025891
125,0.025767
126,0.025638
127,0.025515
128,0.025398
129,0.025274
130,0.025161
131,0.025039
132,0.024921
133,0.024810
134,0.024704
135,0.024603
136,0.024494
137,0.024357
138,0.024232
139,0.024120
140,0.024001
141,0.023884
142,0.023783
143,0.023673
144,0.023569
145,0.023471
146,0.023372
147,0.023265
148,0.023173
149,0.023079
150,0.022989
