epoch,total_loss
1,0.080980
2,0.072773
3,0.065995
4,0.062235
5,0.059771
6,0.058987
7,0.057363
8,0.059598
9,0.056218
10,0.055203
11,0.054662
12,0.053776
13,0.053374
14,0.052609
15,0.052394
16,0.051903
17,0.051628
18,0.051901
19,0.050966
20,0.050502
21,0.049761
22,0.049247
23,0.049147
24,0.048549
25,0.048076
26,0.048295
27,0.049293
28,0.047712
29,0.048002
30,0.047356
31,0.046243
32,0.047152
33,0.046113
34,0.045436
35,0.045678
36,0.045196
37,0.045555
38,0.044424
39,0.044671
40,0.044414
41,0.044437
42,0.043939
43,0.043761
44,0.042954
45,0.043782
46,0.042801
47,0.042680
48,0.042886
49,0.042150
50,0.042758
51,0.041559
52,0.041449
53,0.041706
54,0.041877
55,0.040954
56,0.041357
57,0.041598
58,0.041383
59,0.040938
60,0.040924
61,0.040525
62,0.041464
63,0.040232
64,0.039825
65,0.039560
66,0.039439
67,0.039052
68,0.038945
69,0.039074
70,0.038529
71,0.038460
72,0.037883
73,0.038154
74,0.037725
75,0.037334
76,0.037508
77,0.037785
78,0.037148
79,0.037051
80,0.036751
81,0.036751
82,0.036607
83,0.036385
84,0.036017
85,0.036229
86,0.035847
87,0.035656
88,0.035572
89,0.035254
90,0.035189
91,0.034920
92,0.035046
93,0.034708
94,0.034510
95,0.034325
96,0.034217
97,0.034139
98,0.034043
99,0.033924
100,0.033771
101,0.033622
102,0.033844
103,0.033621
104,0.034440
105,0.033437
106,0.033213
107,0.033166
108,0.033492
109,0.032876
110,0.033176
111,0.032812
112,0.032481
113,0.032469
114,0.032272
115,0.032339
116,0.032225
117,0.032154
118,0.031836
119,0.031708
120,0.031501
121,0.031688
122,0.031403
123,0.031726
124,0.031138
125,0.030926
126,0.030992
127,0.030898
128,0.030696
129,0.030637
130,0.030744
131,0.030721
132,0.030727
133,0.031721
134,0.030608
135,0.030350
136,0.030476
137,0.029956
138,0.029993
139,0.029838
140,0.029816
141,0.030101
142,0.029586
143,0.029514
144,0.029411
145,0.029452
146,0.029564
147,0.029284
148,0.029283
149,0.029197
150,0.029136
