Model,Condition,mAP@50,mAP@50-95,Precision,Recall,Latency (ms)
yolo11n,Normal Vision (Clean),0.017183522665668468,0.006822883393021131,0.021123872026251024,0.22991071428571427,33.41598033905029
yolo11n,Restricted Vision (Blur),0.025698547218647467,0.009881171021220329,0.09469337673540756,0.05357142857142857,28.178491592407227
v11 (Cans),Normal Vision (Clean),0.6335203893772903,0.5262947988676852,0.9373070221759903,0.4672130694730649,28.658227920532227
v11 (Cans),Restricted Vision (Blur),0.6696782585484654,0.5392238759652643,0.9327649741968455,0.48660714285714285,34.429259300231934
v26 (Cans),Normal Vision (Clean),0.0,0.0,0.0,0.0,34.25490379333496
v26 (Cans),Restricted Vision (Blur),0.0,0.0,0.0,0.0,34.12350654602051
yolov8n,Normal Vision (Clean),0.0439358315031545,0.01617675459362313,0.10861952186933718,0.109375,35.004844665527344
yolov8n,Restricted Vision (Blur),0.04504316064783392,0.016432880414731243,0.09900928479761735,0.109375,35.2274751663208
v8 (Cans),Normal Vision (Clean),0.7892725014592594,0.6230407647537374,0.9528708310866832,0.7232142857142857,33.52046489715576
v8 (Cans),Restricted Vision (Blur),0.7266011764150881,0.5621044625815381,0.854973760633507,0.6842778873686297,33.36148738861084
Student v11 (Best),Normal Vision (Clean),7.004656132977673e-05,9.865038581253287e-06,0.00013643960841832383,0.026785714285714284,34.24124240875244
Student v11 (Best),Restricted Vision (Blur),0.00013231898058470195,2.3909131500784516e-05,0.0002510906751200527,0.05357142857142857,34.078354835510254
Student v26 (Best),Normal Vision (Clean),0.030236148362033866,0.00945025211221671,0.12525757349998298,0.12723214285714285,33.879456520080566
Student v26 (Best),Restricted Vision (Blur),0.02900276898733084,0.009389677409967347,0.11881596505072425,0.12276785714285714,33.14403533935547
Student v8 (Best),Normal Vision (Clean),0.0004459797610600168,0.00013517001427623286,0.0012524142101117072,0.006696428571428571,32.46687412261963
Student v8 (Best),Restricted Vision (Blur),0.000674319362778297,0.00020880066236719867,0.002783804361771629,0.008928571428571428,33.515801429748535
