epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.088,0,92.6649,0,0,0,0,0,0,29.9375,0,0.000662921,0.000662921,0.000662921
2,49.925,0,32.7146,0,0,0,0,0,0,0.93555,0,0.00132081,0.00132081,0.00132081
3,72.9957,0,5.15152,0,0,0,0,0,0,0,0,0.0019699,0.0019699,0.0019699
4,95.9359,0,0.21417,0,0,0,0,0,0,nan,0,0.0019604,0.0019604,0.0019604
5,118.64,0,0.00389,0,0,0,0,0,0,0,0,0.0019472,0.0019472,0.0019472
6,141.723,0,0.00231,0,0,0,0,0,0,0,0,0.001934,0.001934,0.001934
7,164.312,0,5e-05,0,0,0,0,0,0,0,0,0.0019208,0.0019208,0.0019208
8,186.895,0,1e-05,0,0,0,0,0,0,0,0,0.0019076,0.0019076,0.0019076
9,209.413,0,0,0,0,0,0,0,0,0,0,0.0018944,0.0018944,0.0018944
10,231.922,0,0,0,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
11,254.455,0,0,0,0,0,0,0,0,0,0,0.001868,0.001868,0.001868
12,277.292,0,0,0,0,0,0,0,0,0,0,0.0018548,0.0018548,0.0018548
13,299.821,0,0,0,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
14,322.558,0,0,0,0,0,0,0,0,0,0,0.0018284,0.0018284,0.0018284
15,345.105,0,0,0,0,0,0,0,0,0,0,0.0018152,0.0018152,0.0018152
16,367.978,0,0,0,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
17,390.398,0,0,0,0,0,0,0,0,0,0,0.0017888,0.0017888,0.0017888
18,412.448,0,0,0,0,0,0,0,0,0,0,0.0017756,0.0017756,0.0017756
19,434.651,0,0,0,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
20,457.366,0,0,0,0,0,0,0,0,0,0,0.0017492,0.0017492,0.0017492
21,479.773,0,0,0,0,0,0,0,0,0,0,0.001736,0.001736,0.001736
22,502.314,0,0,0,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
23,524.881,0,0,0,0,0,0,0,0,0,0,0.0017096,0.0017096,0.0017096
24,547.32,0,0,0,0,0,0,0,0,0,0,0.0016964,0.0016964,0.0016964
25,569.927,0,0,0,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
26,592.541,0,0,0,0,0,0,0,0,0,0,0.00167,0.00167,0.00167
27,615.16,0,0,0,0,0,0,0,0,0,0,0.0016568,0.0016568,0.0016568
28,637.985,0,0,0,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
29,660.474,0,0,0,0,0,0,0,0,0,0,0.0016304,0.0016304,0.0016304
30,682.261,0,0,0,0,0,0,0,0,0,0,0.0016172,0.0016172,0.0016172
31,704.088,0,0,0,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
32,725.713,0,0,0,0,0,0,0,0,0,0,0.0015908,0.0015908,0.0015908
33,747.391,0,0,0,0,0,0,0,0,0,0,0.0015776,0.0015776,0.0015776
34,769.132,0,0,0,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
35,790.909,0,0,0,0,0,0,0,0,0,0,0.0015512,0.0015512,0.0015512
36,812.616,0,0,0,0,0,0,0,0,0,0,0.001538,0.001538,0.001538
37,834.305,0,0,0,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
38,856.083,0,0,0,0,0,0,0,0,0,0,0.0015116,0.0015116,0.0015116
